covariance_type,n_components,iteration,precision,recall,f1-score
tied,19,3,0.93078390614724904,0.92284531426420779,0.92444292357808633
tied,20,1,0.93676685660680736,0.93037260067745575,0.93127497076392074
tied,20,2,0.9297873831109269,0.92021076401957091,0.92213262276799801
tied,20,3,0.9408726559918108,0.93451260820474225,0.93579554678154686
tied,21,1,0.92733095558871814,0.92209258562288299,0.92312687908519286
tied,21,2,0.93326952500448301,0.92284531426420779,0.92501086043689573
tied,21,3,0.93511045923241376,0.92811441475348133,0.92892286495123177
tied,22,1,0.9453927241511757,0.93601806548739175,0.93789921464128589
tied,22,2,0.93174213788447235,0.92736168611215652,0.92784498854931474
tied,22,3,0.92810051173609698,0.92096349266089572,0.92207554332949748
tied,23,1,0.93233561050003722,0.92736168611215652,0.92778719327641879
tied,23,2,0.92777215900915044,0.92133985698155818,0.92236105167188487
tied,23,3,0.93109505838987316,0.92510350018818222,0.92607645520314341
tied,24,1,0.93818725627105659,0.93413624388407979,0.93424901126958793
tied,24,2,0.928270053118189,0.92171622130222053,0.92255840455869964
tied,24,3,0.93058127799573731,0.92246894994354534,0.92386299486938117
tied,25,1,0.9358251185334997,0.93074896499811821,0.93108270406719196
tied,25,2,0.93012071090363746,0.92435077154685741,0.92499305831128131
tied,25,3,0.93241264205339647,0.92585622882950691,0.92718685011341573
tied,26,1,0.94521376533370938,0.93978170869401578,0.94066504697592557
tied,26,2,0.94261195389802688,0.93677079412871656,0.93744928584331366
tied,26,3,0.9400164273230619,0.93187805796010537,0.93340101488116789
tied,27,1,0.93816349989402981,0.93338351524275498,0.93401700879973826
tied,27,2,0.93113316087655162,0.92623259315016937,0.92703755735720783
tied,27,3,0.93780011903355365,0.93112532931878056,0.93198477719103145
tied,28,1,0.94229009074679726,0.93601806548739175,0.93693147166569413
tied,28,2,0.93951370493654751,0.93413624388407979,0.93495881202100029
tied,28,3,0.93278715690701464,0.92698532179149418,0.92758653941727798
tied,29,1,0.94304011784234532,0.93865261573202863,0.93920641494019264
tied,29,2,0.92765483753065958,0.92209258562288299,0.92259877754072184
tied,29,3,0.9376914348223131,0.93225442228076782,0.93307846262080996
tied,30,1,0.93944670855447243,0.93225442228076782,0.93305162318597457
tied,30,2,0.93410801315057157,0.92698532179149418,0.92838013606542658
tied,30,3,0.94541660034313824,0.9420398946179902,0.94245466149215895
tied,31,1,0.94449966122435425,0.93978170869401578,0.94070222311798457
tied,31,2,0.93966634134956961,0.9356417011667294,0.93526702750760682
tied,31,3,0.93999221071744821,0.93639442980805421,0.93672828707256117
tied,32,1,0.94385869482154672,0.93940534437335343,0.93994553994545449
tied,32,2,0.94734840866870973,0.94166353029732786,0.94210524491696035
tied,32,3,0.94086478874066271,0.9356417011667294,0.93638410673542871
tied,33,1,0.93382441007001749,0.93037260067745575,0.93061710514722595
tied,33,2,0.94125985487970387,0.93639442980805421,0.93697749249395546
tied,33,3,0.94057938313861289,0.93526533684606694,0.93541211314126882
tied,34,1,0.94528384032643165,0.94316898757997747,0.94333176312997657
tied,34,2,0.94368337297573346,0.94015807301467824,0.94048958076007005
tied,34,3,0.94385953255398725,0.94053443733534059,0.94087808044853272
tied,35,1,0.93876299095112636,0.93300715092209263,0.93338239061451578
tied,35,2,0.93437878283238285,0.93112532931878056,0.93125559130742319
tied,35,3,0.93113169746476498,0.92660895747083172,0.92681731158152436
tied,36,1,0.94441257934337564,0.9420398946179902,0.94223456558625451
tied,36,2,0.9389841080850756,0.93639442980805421,0.93657513768742895
tied,36,3,0.94128904925214807,0.93639442980805421,0.93682214926814289
tied,37,1,0.94311329006058486,0.94015807301467824,0.94003133650972837
tied,37,2,0.9447793597822044,0.9420398946179902,0.94196510004242029
tied,37,3,0.93607139502239756,0.93187805796010537,0.93223275939132666
tied,38,1,0.94397574557038988,0.93827625141136617,0.93899940826951345
tied,38,2,0.93557627016476652,0.93150169363944302,0.93182833903068285
tied,38,3,0.95097145359015112,0.94881445238991347,0.94870020907060204
tied,39,1,0.94280881979499953,0.93978170869401578,0.94011311702471811
tied,39,2,0.93808507384489259,0.93413624388407979,0.93370758285913713
tied,39,3,0.93819605612623436,0.93526533684606694,0.93534380952531904
tied,40,1,0.93693408852307181,0.93263078660143017,0.9329515414170706
tied,40,2,0.94280536726945197,0.94015807301467824,0.94026442827787571
tied,40,3,0.94229332927940945,0.93978170869401578,0.93938999597625217
tied,41,1,0.9442152027447116,0.9412871659766654,0.94168011808787522
tied,41,2,0.93964665083247467,0.93601806548739175,0.93618049772850043
tied,41,3,0.93675147758412369,0.93338351524275498,0.93300206571409494
tied,42,1,0.944201934626134,0.94241625893865266,0.94232141668504277
tied,42,2,0.95228252817959347,0.94994354535190062,0.95018861635081031
